Date,Open,High,Low,Close,Volume
2021-03-18,2.65,2.7,2.55,2.55,11214243
2021-03-19,2.5,2.6,2.45,2.55,21107354
2021-03-22,2.65,2.65,2.65,2.65,3917901
2021-03-23,2.75,2.75,2.75,2.75,1201990
2021-03-24,2.85,2.85,2.8,2.85,45556977
2021-03-25,2.95,2.95,2.8,2.95,44212049
2021-03-26,2.95,3.05,2.85,3.05,42584394
2021-03-30,3.15,3.2,3.1,3.1,38910350
2021-03-31,3.1,3.25,3.05,3.25,43263887
2021-04-01,3.35,3.4,3.3,3.4,60226830
2021-04-05,3.55,3.55,3.25,3.25,56218421
2021-04-06,3.15,3.2,3.1,3.1,41975975
2021-04-07,3.1,3.2,3.0,3.2,25171005
2021-04-08,3.25,3.4,3.15,3.2,47307290
2021-04-09,3.2,3.3,3.15,3.2,21577038
2021-04-12,3.15,3.15,2.9,2.95,36876691
2021-04-13,2.95,3.0,2.8,2.95,21880026
2021-04-15,3.0,3.2,3.0,3.2,37879253
2021-04-16,3.3,3.35,3.1,3.1,19736547
2021-04-19,2.95,3.0,2.85,2.9,14578660
2021-04-20,2.95,3.1,2.9,2.95,16502082
2021-04-22,2.95,3.0,2.85,3.0,13282527
2021-04-23,3.0,3.05,2.9,2.95,12477094
2021-04-26,2.95,3.0,2.9,2.9,7869181
2021-04-27,2.95,3.0,2.9,2.9,12398538
2021-04-28,2.95,3.0,2.85,2.9,11524668
2021-04-29,2.95,3.15,2.85,3.15,34244866
2021-04-30,3.1,3.25,3.0,3.15,31028156
2021-05-03,3.1,3.15,3.0,3.1,13574719
2021-05-04,3.15,3.2,3.0,3.05,11837030
2021-05-05,3.1,3.1,2.95,3.0,9332178
2021-05-06,3.05,3.05,2.95,3.0,9286711
2021-05-07,3.05,3.05,2.95,3.0,13387181
2021-05-10,3.05,3.3,3.0,3.3,72492375
2021-05-11,3.3,3.6,3.2,3.6,78524438
2021-05-12,3.8,3.95,3.5,3.95,193633095
2021-05-14,4.1,4.1,3.8,3.9,142130225
